,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Chamber and Ambient Humidity Sensor,,,,,,Microfluidic,,,FitBit,,Core,,,,
Biking Speed (mph),Timestamp,Temperature (C),Room Humidity (%),Timestamp,Ambient Temperature (C),Ambient Humidity (%),Timestamp,Elapsed Time,Spoke #,Timestamp,HeartRate (bpm),Timestamp,CoreBodyTemp (F),TempChangeRate (F/h),TempQuality [1(poor) to 4(excellent)],SkinTemp (F)
0,6:35:04 AM,29.29,92.5,6:35:04 AM,28.88,45.13,,,,5:56:00,85,,,,,
0,6:37:04 AM,29.34,91.02,6:37:04 AM,28.92,45.47,,,,5:57:00,92,,,,,
0,6:39:04 AM,29.45,87.94,6:39:04 AM,28.93,45.04,,,,5:58:00,80,,,,,
0,6:41:04 AM,29.45,83.9,6:41:04 AM,28.97,43.31,,,,5:59:00,80,,,,,
0,6:43:04 AM,29.36,79.26,6:43:04 AM,28.96,43.22,,,,6:00:00,80,,,,,
0,6:45:04 AM,29.42,75.49,6:45:04 AM,29.03,43.89,,,,6:01:00,77,,,,,
0,6:47:04 AM,29.52,72.93,6:47:04 AM,29.02,42.69,,,,6:02:00,78,,,,,
0,6:49:04 AM,29.58,70.77,6:49:04 AM,29.03,43.04,,,,6:03:00,82,,,,,
0,6:51:04 AM,29.63,68.84,6:51:04 AM,29.04,42.75,,,,6:04:00,115,,,,,
0,6:53:04 AM,29.67,66.77,6:53:04 AM,29.13,42.68,,,,6:05:00,140,,,,,
0,6:55:04 AM,29.77,65.04,6:55:04 AM,29.16,42.18,,,,6:06:00,144,,,,,
0,6:57:04 AM,29.71,63.68,6:57:04 AM,29.13,42.11,,,,6:07:00,145,,,,,
0,6:59:04 AM,29.76,62.49,6:59:04 AM,29.2,42.14,,,,6:08:00,154,,,,,
0,7:01:04 AM,29.77,61.04,7:01:04 AM,29.17,42,,,,6:09:00,155,,,,,
0,7:03:04 AM,29.89,59.68,7:03:04 AM,29.21,41.85,,,,6:10:00,157,,,,,
0,7:05:04 AM,29.83,58.4,7:05:04 AM,29.15,41.79,,,,6:11:00,152,,,,,
0,7:07:04 AM,29.64,57.61,7:07:04 AM,28.9,42.84,,,,6:12:00,166,,,,,
0,7:09:04 AM,29.6,56.48,7:09:04 AM,28.46,43.01,,,,6:13:00,172,,,,,
0,7:11:04 AM,29.55,55.6,7:11:04 AM,28.27,43.43,,,,6:14:00,170,,,,,
0,7:13:04 AM,29.52,54.96,7:13:04 AM,28.17,43.64,,,,6:15:00,170,,,,,
0,7:15:04 AM,29.4,54.41,7:15:04 AM,28.13,43.87,,,,6:16:00,174,,,,,
0,7:17:04 AM,29.28,54.01,7:17:04 AM,28.36,43.49,,,,6:17:00,175,,,,,
0,7:19:04 AM,29.29,53.57,7:19:04 AM,28.48,43.29,,,,6:18:00,176,,,,,
0,7:21:04 AM,29.3,53.09,7:21:04 AM,28.57,43,,,,6:19:00,173,,,,,
0,7:23:04 AM,29.16,52.81,7:23:04 AM,28.66,43.02,,,,6:20:00,176,,,,,
0,7:25:04 AM,29.15,52.36,7:25:04 AM,28.41,43.09,,,,6:21:00,175,,,,,
0,7:27:04 AM,29,52.14,7:27:04 AM,28.42,43.28,,,,6:22:00,176,,,,,
0,7:29:04 AM,28.28,48.28,7:29:04 AM,27.7,44,,,,6:23:00,175,,,,,
0,7:31:04 AM,27.26,48.67,7:31:04 AM,26.73,46.81,,,,6:24:00,162,,,,,
0,7:33:04 AM,26.35,50.67,7:33:04 AM,25.58,50.81,,,,6:25:00,148,,,,,
0,7:35:04 AM,24.93,52.21,7:35:04 AM,24.92,53.16,,,,6:26:00,144,,,,,
0,7:37:04 AM,26.86,51.31,7:37:04 AM,26.02,49.04,,,,6:27:00,138,,,,,
0,7:39:04 AM,27.62,50.68,7:39:04 AM,26.41,48.33,,,,6:28:00,130,,,,,
0,7:41:04 AM,28.11,50.01,7:41:04 AM,26.55,47.79,,,,6:29:00,124,,,,,
0,7:43:04 AM,28.04,49.48,7:43:04 AM,26.42,47.81,,,,6:30:00,119,,,,,
0,7:45:04 AM,27.86,49.34,7:45:04 AM,26.37,48.17,,,,6:31:00,104,,,,,
0,7:47:04 AM,27.64,49.47,7:47:04 AM,26.06,48.93,,,,6:32:00,106,,,,,
0,7:49:04 AM,25.01,51.75,7:49:04 AM,25.13,55.74,,,,6:33:00,100,,,,,
0,7:51:04 AM,26.71,51.66,7:51:04 AM,26.44,58.51,,,,6:34:00,104,,,,,
0,7:53:04 AM,27.83,52.06,7:53:04 AM,27.17,59.98,,,,6:35:00,106,,,,,
0,7:55:04 AM,28.4,52.46,7:55:04 AM,27.55,51.15,,,,6:36:00,103,,,,,
